  0.000000  1.000000  0.000000  0.000000
  0.500000  0.968750 -0.250000  0.030280
  1.000000  0.814453 -0.471354  0.049255
  1.500000  0.557332 -0.619857  0.045505
  2.000000  0.238398 -0.662775  0.014507
  2.500000 -0.087178 -0.586645  0.038794
  3.000000 -0.360386 -0.401710  0.100334
  3.500000 -0.530347 -0.141539  0.150220
  4.000000 -0.565443  0.142514  0.168293
  4.500000 -0.461072  0.391246  0.140530
  5.000000 -0.242066  0.550079  0.064470
  5.500000  0.041226  0.581462  0.048070
  6.000000  0.322773  0.474394  0.172128
  6.500000  0.534855  0.248634  0.274760
  7.000000  0.623353 -0.047798  0.323274
  7.500000  0.560921 -0.347817  0.294581
  8.000000  0.354853 -0.579576  0.183202
  8.500000  0.047415 -0.682965  0.005476
  9.000000 -0.292009 -0.624622  0.201675
  9.500000 -0.581732 -0.407788  0.387803
 10.000000 -0.746585 -0.074252  0.746585
