  0.000000  1.000000  0.000000  0.000000
  0.100000  0.997751 -0.049952  0.000249
  0.200000  0.990519 -0.099558  0.000494
  0.300000  0.978356 -0.148447  0.000730
  0.400000  0.961349 -0.196253  0.000951
  0.500000  0.939624 -0.242619  0.001154
  0.600000  0.913340 -0.287198  0.001335
  0.700000  0.882691 -0.329659  0.001490
  0.800000  0.847902 -0.369690  0.001615
  0.899999  0.809231 -0.406996  0.001707
  0.999999  0.766961 -0.441307  0.001763
  1.099999  0.721405 -0.472375  0.001782
  1.199999  0.672896 -0.499980  0.001763
  1.299999  0.621789 -0.523931  0.001703
  1.399999  0.568458 -0.544066  0.001602
  1.499999  0.513290 -0.560256  0.001461
  1.599999  0.456684 -0.572401  0.001281
  1.699999  0.399048 -0.580438  0.001063
  1.799999  0.340795 -0.584334  0.000808
  1.899999  0.282338 -0.584091  0.000519
  1.999998  0.224091 -0.579746  0.000200
  2.099998  0.166461 -0.571367  0.000147
  2.199998  0.109846 -0.559054  0.000517
  2.299998  0.054635 -0.542942  0.000906
  2.399998  0.001200 -0.523192  0.001308
  2.499998 -0.050102 -0.499995  0.001720
  2.599998 -0.098939 -0.473571  0.002135
  2.699998 -0.144996 -0.444162  0.002547
  2.799998 -0.187988 -0.412034  0.002952
  2.899998 -0.227655 -0.377474  0.003344
  2.999998 -0.263767 -0.340786  0.003716
  3.099998 -0.296127 -0.302290  0.004064
  3.199997 -0.324568 -0.262317  0.004381
  3.299997 -0.348958 -0.221209  0.004662
  3.399997 -0.369199 -0.179314  0.004904
  3.499997 -0.385227 -0.136981  0.005100
  3.599997 -0.397016 -0.094565  0.005247
  3.699997 -0.404572 -0.052413  0.005342
  3.799997 -0.407937 -0.010869  0.005381
  3.899997 -0.407188  0.029732  0.005362
  3.999997 -0.402433  0.069066  0.005283
  4.099999 -0.393813  0.106824  0.005143
  4.200001 -0.381499  0.142711  0.004942
  4.300004 -0.365691  0.176455  0.004680
  4.400006 -0.346614  0.207803  0.004358
  4.500008 -0.324519  0.236524  0.003978
  4.600010 -0.299677  0.262414  0.003542
  4.700013 -0.272380  0.285297  0.003053
  4.800015 -0.242936  0.305021  0.002516
  4.900017 -0.211667  0.321468  0.001934
  5.000020 -0.178903  0.334546  0.001313
  5.100022 -0.144986  0.344195  0.000659
  5.200024 -0.110259  0.350387  0.000023
  5.300026 -0.075069  0.353122  0.000725
  5.400029 -0.039760  0.352434  0.001440
  5.500031 -0.004671  0.348383  0.002162
  5.600033  0.029864  0.341062  0.002882
  5.700036  0.063524  0.330589  0.003593
  5.800038  0.096001  0.317110  0.004286
  5.900040  0.127000  0.300798  0.004955
  6.000042  0.156248  0.281846  0.005591
  6.100045  0.183490  0.260471  0.006187
  6.200047  0.208494  0.236908  0.006736
  6.300049  0.231052  0.211409  0.007230
  6.400052  0.250983  0.184243  0.007663
  6.500054  0.268133  0.155688  0.008030
  6.600056  0.282375  0.126033  0.008324
  6.700058  0.293613  0.095573  0.008543
  6.800061  0.301780  0.064607  0.008680
  6.900063  0.306838  0.033436  0.008734
  7.000065  0.308781  0.002359  0.008702
  7.100068  0.307632 -0.028330  0.008582
  7.200070  0.303441 -0.058344  0.008374
  7.300072  0.296290 -0.087403  0.008079
  7.400074  0.286286 -0.115244  0.007698
  7.500077  0.273562 -0.141613  0.007232
  7.600079  0.258276 -0.166276  0.006686
  7.700081  0.240608 -0.189016  0.006064
  7.800084  0.220760 -0.209639  0.005369
  7.900086  0.198952 -0.227969  0.004609
  8.000088  0.175419 -0.243857  0.003789
  8.100090  0.150413 -0.257176  0.002918
  8.200092  0.124193 -0.267828  0.002002
  8.300095  0.097032 -0.275737  0.001051
  8.400097  0.069205 -0.280858  0.000074
  8.500099  0.040992 -0.283170  0.000921
  8.600101  0.012674 -0.282681  0.001922
  8.700104 -0.015471 -0.279423  0.002920
  8.800106 -0.043166 -0.273458  0.003905
  8.900108 -0.070147 -0.264870  0.004866
  9.000111 -0.096155 -0.253768  0.005794
  9.100113 -0.120944 -0.240285  0.006678
  9.200115 -0.144283 -0.224576  0.007510
  9.300117 -0.165957 -0.206813  0.008279
  9.400120 -0.185770 -0.187189  0.008977
  9.500122 -0.203544 -0.165913  0.009596
  9.600124 -0.219125 -0.143206  0.010129
  9.700127 -0.232378 -0.119303  0.010568
  9.800129 -0.243197 -0.094447  0.010909
  9.900131 -0.251496 -0.068890  0.011146
 10.000134 -0.257218 -0.042886  0.011276
