  0.000000  1.000000  0.000000  0.000000
  0.100000  0.997639 -0.049945  0.000137
  0.200000  0.990284 -0.099531  0.000259
  0.300000  0.978003 -0.148385  0.000377
  0.400000  0.960885 -0.196143  0.000487
  0.500000  0.939058 -0.242447  0.000588
  0.600000  0.912683 -0.286953  0.000678
  0.700000  0.881956 -0.329332  0.000755
  0.800000  0.847104 -0.369271  0.000816
  0.899999  0.808385 -0.406478  0.000861
  0.999999  0.766087 -0.440684  0.000889
  1.099999  0.720520 -0.471644  0.000898
  1.199999  0.672020 -0.499140  0.000887
  1.299999  0.620942 -0.522983  0.000856
  1.399999  0.567660 -0.543012  0.000805
  1.499999  0.512562 -0.559101  0.000733
  1.599999  0.456045 -0.571153  0.000642
  1.699999  0.398518 -0.579106  0.000532
  1.799999  0.340391 -0.582929  0.000404
  1.899999  0.282079 -0.582627  0.000259
  1.999998  0.223991 -0.578238  0.000099
  2.099998  0.166533 -0.569831  0.000075
  2.199998  0.110103 -0.557510  0.000260
  2.299998  0.055086 -0.541408  0.000455
  2.399998  0.001853 -0.521689  0.000656
  2.499998 -0.049244 -0.498544  0.000862
  2.599998 -0.097873 -0.472194  0.001069
  2.699998 -0.143723 -0.442880  0.001275
  2.799998 -0.186512 -0.410870  0.001477
  2.899998 -0.225983 -0.376449  0.001672
  2.999998 -0.261909 -0.339920  0.001858
  3.099998 -0.294094 -0.301603  0.002031
  3.199997 -0.322376 -0.261828  0.002189
  3.299997 -0.346624 -0.220934  0.002329
  3.399997 -0.366743 -0.179267  0.002448
  3.499997 -0.382673 -0.137177  0.002546
  3.599997 -0.394387 -0.095014  0.002618
  3.699997 -0.401895 -0.053122  0.002665
  3.799997 -0.405240 -0.011844  0.002684
  3.899997 -0.404499  0.028488  0.002673
  3.999997 -0.399783  0.067553  0.002633
  4.099999 -0.391233  0.105046  0.002563
  4.200001 -0.379019  0.140676  0.002462
  4.300004 -0.363342  0.174171  0.002331
  4.400006 -0.344426  0.205283  0.002170
  4.500008 -0.322521  0.233785  0.001981
  4.600010 -0.297898  0.259475  0.001763
  4.700013 -0.270847  0.282179  0.001520
  4.800015 -0.241673  0.301749  0.001252
  4.900017 -0.210695  0.318069  0.000962
  5.000020 -0.178244  0.331049  0.000654
  5.100022 -0.144655  0.340631  0.000328
  5.200024 -0.110271  0.346789  0.000011
  5.300026 -0.075434  0.349525  0.000360
  5.400029 -0.040485  0.348872  0.000716
  5.500031 -0.005759  0.344893  0.001074
  5.600033  0.028414  0.337679  0.001432
  5.700036  0.061717  0.327350  0.001785
  5.800038  0.093844  0.314051  0.002130
  5.900040  0.124507  0.297953  0.002462
  6.000042  0.153434  0.279248  0.002777
  6.100045  0.180376  0.258152  0.003073
  6.200047  0.205104  0.234898  0.003345
  6.300049  0.227413  0.209735  0.003591
  6.400052  0.247126  0.182929  0.003806
  6.500054  0.264091  0.154755  0.003988
  6.600056  0.278184  0.125499  0.004134
  6.700058  0.289312  0.095453  0.004242
  6.800061  0.297410  0.064911  0.004310
  6.900063  0.302441  0.034170  0.004337
  7.000065  0.304401  0.003525  0.004321
  7.100068  0.303311 -0.026734  0.004262
  7.200070  0.299226 -0.056325  0.004159
  7.300072  0.292223 -0.084973  0.004012
  7.400074  0.282411 -0.112417  0.003823
  7.500077  0.269922 -0.138410  0.003593
  7.600079  0.254911 -0.162721  0.003322
  7.700081  0.237558 -0.185138  0.003013
  7.800084  0.218060 -0.205468  0.002669
  7.900086  0.196636 -0.223542  0.002293
  8.000088  0.173517 -0.239211  0.001886
  8.100090  0.148950 -0.252354  0.001455
  8.200092  0.123193 -0.262874  0.001001
  8.300095  0.096511 -0.270697  0.000530
  8.400097  0.069177 -0.275779  0.000046
  8.500099  0.041466 -0.278102  0.000446
  8.600101  0.013653 -0.277674  0.000942
  8.700104 -0.013987 -0.274527  0.001437
  8.800106 -0.041186 -0.268722  0.001924
  8.900108 -0.067681 -0.260344  0.002400
  9.000111 -0.093220 -0.249499  0.002860
  9.100113 -0.117563 -0.236319  0.003298
  9.200115 -0.140483 -0.220956  0.003709
  9.300117 -0.161769 -0.203580  0.004090
  9.400120 -0.181229 -0.184381  0.004436
  9.500122 -0.198691 -0.163562  0.004743
  9.600124 -0.214003 -0.141344  0.005007
  9.700127 -0.227035 -0.117954  0.005224
  9.800129 -0.237682 -0.093632  0.005394
  9.900131 -0.245861 -0.068624  0.005511
 10.000134 -0.251518 -0.043179  0.005576
